1;00.00.00
1; 13.14.03
1; 13.14.03
3; 13.14.05
2; 13.14.05
1; 13.14.05
1; 13.14.05
15; 13.14.05
223; 13.14.05
3; 13.14.05
2; 13.14.05
1; 13.14.05
15; 13.14.05
3; 13.14.05
2; 13.14.05
1; 13.14.05
1; 13.14.05
15; 13.14.05
223; 13.14.05
3; 13.14.05
2; 13.14.05
1; 13.14.05
15; 13.14.05
1; 13.15.24
1; 13.15.25
3; 13.15.26
2; 13.15.26
1; 13.15.26
1; 13.15.26
15; 13.15.26
223; 13.15.26
3; 13.15.26
2; 13.15.26
1; 13.15.26
15; 13.15.26
3; 13.15.26
2; 13.15.26
1; 13.15.26
1; 13.15.26
15; 13.15.26
223; 13.15.26
3; 13.15.26
2; 13.15.26
1; 13.15.26
15; 13.15.26
